#  Wall superheat [K]     Departure diameter [mm]     Error
1.033316   0.230250   0.031650
1.131727   0.204876   0.039884
1.279344   0.315456   0.011744
1.316248   0.234792   0.044408
1.365454   0.276486   0.031714
1.672988   0.194020   0.037080
1.709892   0.221212   0.047088
2.48488   0.281060   0.080640
3.382881   0.479583   0.026287
3.899539   0.420691   0.038969
4.108662   0.427043   0.062457
4.231676   0.269344   0.058006
4.256279   0.256656   0.080664
4.26858   0.335508   0.049792
4.62532   0.423437   0.153173
5.535623   0.495979   0.046221
5.560226   0.451569   0.072511
5.621732   0.466979   0.077941
6.642747   0.423513   0.020847
6.888775   0.663704   0.088826
7.479241   0.525055   0.079755
7.835982   0.594857   0.029003
10.160943   0.594945   0.018125
10.776012   0.721857   0.074323
11.071246   0.690146   0.052564
12.006151   0.777190   0.094260
13.088672   0.877835   0.073415
13.187084   0.827990   0.032630
13.297796   0.702919   0.089731
14.589441   0.872454   0.079756
14.84777   0.721104   0.074316
15.315223   0.755563   0.074317
15.610456   0.858897   0.050753
16.151717   0.619643   0.073417
16.434649   0.852584   0.092446
16.471553   1.101830   0.116870
16.97591   0.790973   0.062537
17.197335   1.015755   0.046245
17.33265   1.069234   0.053466
17.947719   1.027566   0.070734
18.021527   0.939653   0.132347
18.784213   0.928806   0.038974
19.928242   0.998637   0.096963
20.678626   1.039451   0.133249
21.232189   0.973309   0.137791
23.72937   0.859204   0.101506
