# Caso   Tr   rhol   rhog   cl   cg
1   0.9900000   0.1010000   0.0663000   1.2120000   0.7956000
2   0.9800000   0.1080000   0.0602000   1.2960000   0.7224000
3   0.9600000   0.1180000   0.0516000   1.4160000   0.6192000
4   0.9400000   0.1260000   0.0452000   1.5120000   0.5424000
5   0.9200000   0.1320000   0.0400000   1.5840000   0.4800000
6   0.9000000   0.1380000   0.0356000   1.6560000   0.4272000
7   0.8500000   0.1510000   0.0269000   1.8120000   0.3228000
8   0.8000000   0.1610000   0.0203000   1.9320000   0.2436000
9   0.7500000   0.1700000   0.0152000   2.0400000   0.1824000
10   0.7000000   0.1780000   0.0111000   2.1360000   0.1332000
11   0.6500000   0.1860000   0.0079000   2.2320000   0.0948000
12   0.6000000   0.1927000   0.0054100   2.3124000   0.0649200
13   0.5500000   0.1990000   0.0035320   2.3880000   0.0423840
14   0.5000000   0.2049000   0.0021610   2.4588000   0.0259320
