# Caso        Tr        rhol       rhog   cl   cg
1   0.990000   0.102000   0.068100   1.224000   0.817200
2   0.980000   0.110000   0.063900   1.320000   0.766800
3   0.960000   0.120000   0.058400   1.440000   0.700800
4   0.940000   0.128000   0.054500   1.536000   0.654000
5   0.920000   0.135000   0.051300   1.620000   0.615600
6   0.900000   0.141000   0.048600   1.692000   0.583200
7   0.850000   0.153000   0.043000   1.836000   0.516000
8   0.800000   0.163000   0.038500   1.956000   0.462000
9   0.750000   0.172000   0.034500   2.064000   0.414000
10   0.700000   0.180000   0.031000   2.160000   0.372000
11   0.650000   0.187000   0.027800   2.244000   0.333600
12   0.600000   0.193500   0.024920   2.322000   0.299040
13   0.550000   0.199600   0.022200   2.395200   0.266400
14   0.500000   0.205400   0.019650   2.464800   0.235800
