# Tr   Cf   Cg
0.5   2.458492   0.021747
0.51   2.444671   0.024455
0.52   2.430672   0.027385
0.53   2.416489   0.030543
0.54   2.402117   0.033938
0.55   2.387549   0.03758
0.56   2.372781   0.041476
0.57   2.357804   0.045635
0.58   2.342613   0.050066
0.59   2.327199   0.054777
0.6   2.311557   0.059778
0.61   2.295676   0.065079
0.62   2.279549   0.070688
0.63   2.263167   0.076617
0.64   2.24652   0.082876
0.65   2.229598   0.089475
0.66   2.212389   0.096428
0.67   2.194882   0.103745
0.68   2.177065   0.11144
0.69   2.158923   0.119528
0.7   2.140443   0.128022
0.71   2.121607   0.13694
0.72   2.1024   0.146298
0.73   2.082803   0.156115
0.74   2.062795   0.166411
0.75   2.042354   0.177209
0.76   2.021455   0.188533
0.77   2.000073   0.200409
0.78   1.978177   0.212868
0.79   1.955733   0.225941
0.8   1.932706   0.239667
0.81   1.909053   0.254086
0.82   1.884727   0.269244
0.83   1.859676   0.285195
0.84   1.833837   0.302
0.85   1.80714   0.31973
0.86   1.779502   0.338466
0.87   1.750826   0.358307
0.88   1.720994   0.379367
0.89   1.689867   0.401787
0.9   1.65727   0.425742
0.91   1.622986   0.451446
0.92   1.586736   0.479181
0.93   1.54815   0.509313
0.94   1.506723   0.542349
0.95   1.461727   0.579015
0.96   1.412052   0.620422
0.97   1.355829   0.668437
0.98   1.289426   0.726691
0.99   1.203494   0.804535
