"rho","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.10602,0.036666,1,0,1,0,0
0.10602,0.036666,1,1,1,1,0
0.10602,0.036666,1,2,1,2,0
0.10601,0.036666,1,3,1,3,0
0.106,0.036666,1,4,1,4,0
0.10599,0.036666,1,5,1,5,0
0.10598,0.036666,1,6,1,6,0
0.10597,0.036666,1,7,1,7,0
0.10596,0.036666,1,8,1,8,0
0.10595,0.036666,1,9,1,9,0
0.10593,0.036666,1,10,1,10,0
0.10592,0.036666,1,11,1,11,0
0.10591,0.036666,1,12,1,12,0
0.10589,0.036666,1,13,1,13,0
0.10588,0.036666,1,14,1,14,0
0.10587,0.036666,1,15,1,15,0
0.10585,0.036666,1,16,1,16,0
0.10584,0.036666,1,17,1,17,0
0.10582,0.036666,1,18,1,18,0
0.10581,0.036666,1,19,1,19,0
0.10579,0.036666,1,20,1,20,0
0.10578,0.036666,1,21,1,21,0
0.10576,0.036666,1,22,1,22,0
0.10575,0.036666,1,23,1,23,0
0.10573,0.036666,1,24,1,24,0
0.10572,0.036666,1,25,1,25,0
0.1057,0.036666,1,26,1,26,0
0.10569,0.036666,1,27,1,27,0
0.10567,0.036666,1,28,1,28,0
0.10566,0.036666,1,29,1,29,0
0.10564,0.036666,1,30,1,30,0
0.10563,0.036666,1,31,1,31,0
0.10561,0.036666,1,32,1,32,0
0.1056,0.036666,1,33,1,33,0
0.10558,0.036666,1,34,1,34,0
0.10557,0.036666,1,35,1,35,0
0.10555,0.036666,1,36,1,36,0
0.10554,0.036666,1,37,1,37,0
0.10552,0.036666,1,38,1,38,0
0.10551,0.036666,1,39,1,39,0
0.10549,0.036666,1,40,1,40,0
0.10548,0.036666,1,41,1,41,0
0.10546,0.036666,1,42,1,42,0
0.10545,0.036666,1,43,1,43,0
0.10543,0.036666,1,44,1,44,0
0.10542,0.036666,1,45,1,45,0
0.1054,0.036666,1,46,1,46,0
0.10538,0.036666,1,47,1,47,0
0.10537,0.036666,1,48,1,48,0
0.10535,0.036666,1,49,1,49,0
0.10534,0.036666,1,50,1,50,0
0.10532,0.036666,1,51,1,51,0
0.10531,0.036666,1,52,1,52,0
0.10529,0.036666,1,53,1,53,0
0.10528,0.036666,1,54,1,54,0
0.10526,0.036666,1,55,1,55,0
0.10524,0.036666,1,56,1,56,0
0.10523,0.036666,1,57,1,57,0
0.10521,0.036666,1,58,1,58,0
0.1052,0.036666,1,59,1,59,0
0.10518,0.036666,1,60,1,60,0
0.10517,0.036666,1,61,1,61,0
0.10515,0.036666,1,62,1,62,0
0.10513,0.036666,1,63,1,63,0
0.10512,0.036666,1,64,1,64,0
0.1051,0.036666,1,65,1,65,0
0.10509,0.036666,1,66,1,66,0
0.10507,0.036666,1,67,1,67,0
0.10505,0.036666,1,68,1,68,0
0.10504,0.036666,1,69,1,69,0
0.10502,0.036666,1,70,1,70,0
0.105,0.036666,1,71,1,71,0
0.10499,0.036666,1,72,1,72,0
0.10497,0.036666,1,73,1,73,0
0.10496,0.036666,1,74,1,74,0
0.10494,0.036666,1,75,1,75,0
0.10492,0.036666,1,76,1,76,0
0.10491,0.036666,1,77,1,77,0
0.10489,0.036666,1,78,1,78,0
0.10487,0.036666,1,79,1,79,0
0.10486,0.036666,1,80,1,80,0
0.10484,0.036666,1,81,1,81,0
0.10482,0.036666,1,82,1,82,0
0.10481,0.036666,1,83,1,83,0
0.10479,0.036666,1,84,1,84,0
0.10478,0.036666,1,85,1,85,0
0.10476,0.036666,1,86,1,86,0
0.10474,0.036666,1,87,1,87,0
0.10473,0.036666,1,88,1,88,0
0.10471,0.036666,1,89,1,89,0
0.10469,0.036666,1,90,1,90,0
0.10468,0.036666,1,91,1,91,0
0.10466,0.036666,1,92,1,92,0
0.10464,0.036666,1,93,1,93,0
0.10462,0.036666,1,94,1,94,0
0.10461,0.036666,1,95,1,95,0
0.10459,0.036666,1,96,1,96,0
0.10457,0.036666,1,97,1,97,0
0.10456,0.036666,1,98,1,98,0
0.10454,0.036666,1,99,1,99,0
0.10452,0.036666,1,100,1,100,0
0.10451,0.036666,1,101,1,101,0
0.10449,0.036666,1,102,1,102,0
0.10447,0.036666,1,103,1,103,0
0.10445,0.036666,1,104,1,104,0
0.10444,0.036666,1,105,1,105,0
0.10442,0.036666,1,106,1,106,0
0.1044,0.036666,1,107,1,107,0
0.10438,0.036666,1,108,1,108,0
0.10437,0.036666,1,109,1,109,0
0.10435,0.036666,1,110,1,110,0
0.10433,0.036666,1,111,1,111,0
0.10431,0.036666,1,112,1,112,0
0.1043,0.036666,1,113,1,113,0
0.10428,0.036666,1,114,1,114,0
0.10426,0.036666,1,115,1,115,0
0.10424,0.036666,1,116,1,116,0
0.10423,0.036666,1,117,1,117,0
0.10421,0.036666,1,118,1,118,0
0.10419,0.036666,1,119,1,119,0
0.10417,0.036666,1,120,1,120,0
0.10416,0.036666,1,121,1,121,0
0.10414,0.036666,1,122,1,122,0
0.10412,0.036666,1,123,1,123,0
0.1041,0.036666,1,124,1,124,0
0.10408,0.036666,1,125,1,125,0
0.10407,0.036666,1,126,1,126,0
