# Caso  Tr  inter  rho_l  rho_g  c_l  c_g
0  0.990  145.85366  0.10017500  0.06727880  1.20210000  0.80734560
1  0.980  144.42149  0.10707400  0.06117640  1.28488800  0.73411680
2  0.960  142.59839  0.11723500  0.05265480  1.40682000  0.63185760
3  0.940  141.14555  0.12492600  0.04632030  1.49911200  0.55584360
4  0.920  139.77537  0.13166000  0.04122470  1.57992000  0.49469640
5  0.900  138.47409  0.13746400  0.03717290  1.64956800  0.44607480
6  0.850  135.58094  0.14988600  0.02896590  1.79863200  0.34759080
7  0.800  132.66874  0.16048300  0.02265170  1.92579600  0.27182040
8  0.750  130.88730  0.16965300  0.01717000  2.03583600  0.20604000
9  0.700  127.61696  0.17806500  0.01332830  2.13678000  0.15993960
10  0.650  125.63991  0.18572900  0.01092820  2.22874800  0.13113840
11  0.600  123.20112  0.19234700  0.00785955  2.30816400  0.09431460
12  0.550  120.61447  0.19891800  0.00701910  2.38701600  0.08422920
13  0.500  117.49448  0.20490400  0.00478859  2.45884800  0.05746308
