"rho","U:0","U:1","U:2","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1927,-6.8011e-15,-1.2346e-07,0,0.022222,1,0,1,0,0
0.1927,-2.1029e-14,-1.2346e-07,0,0.022224,1,1,1,1,0
0.19269,-3.4002e-14,-1.2346e-07,0,0.022225,1,2,1,2,0
0.19269,-4.6859e-14,-1.2346e-07,0,0.022227,1,3,1,3,0
0.19268,-5.9636e-14,-1.2347e-07,0,0.022228,1,4,1,4,0
0.19268,-7.2359e-14,-1.2347e-07,0,0.02223,1,5,1,5,0
0.19267,-8.5002e-14,-1.2348e-07,0,0.022232,1,6,1,6,0
0.19267,-9.7538e-14,-1.2348e-07,0,0.022233,1,7,1,7,0
0.19266,-1.0997e-13,-1.2348e-07,0,0.022235,1,8,1,8,0
0.19265,-1.2231e-13,-1.2349e-07,0,0.022236,1,9,1,9,0
0.19265,-1.3461e-13,-1.2349e-07,0,0.022238,1,10,1,10,0
0.19264,-1.4682e-13,-1.2349e-07,0,0.022239,1,11,1,11,0
0.19264,-1.5893e-13,-1.235e-07,0,0.022241,1,12,1,12,0
0.19263,-1.7093e-13,-1.235e-07,0,0.022242,1,13,1,13,0
0.19263,-1.8282e-13,-1.235e-07,0,0.022244,1,14,1,14,0
0.19262,-1.9461e-13,-1.2351e-07,0,0.022245,1,15,1,15,0
0.19261,-2.0629e-13,-1.2351e-07,0,0.022247,1,16,1,16,0
0.19261,-2.1786e-13,-1.2352e-07,0,0.022249,1,17,1,17,0
0.1926,-2.2932e-13,-1.2352e-07,0,0.02225,1,18,1,18,0
0.1926,-2.4068e-13,-1.2352e-07,0,0.022252,1,19,1,19,0
0.19259,-2.5193e-13,-1.2353e-07,0,0.022253,1,20,1,20,0
0.19258,-2.6307e-13,-1.2353e-07,0,0.022255,1,21,1,21,0
0.19258,-2.741e-13,-1.2353e-07,0,0.022256,1,22,1,22,0
0.19257,-2.8503e-13,-1.2354e-07,0,0.022258,1,23,1,23,0
0.19257,-2.9584e-13,-1.2354e-07,0,0.022259,1,24,1,24,0
0.19256,-3.0656e-13,-1.2355e-07,0,0.022261,1,25,1,25,0
0.19256,-3.1716e-13,-1.2355e-07,0,0.022263,1,26,1,26,0
0.19255,-3.2765e-13,-1.2355e-07,0,0.022264,1,27,1,27,0
0.19254,-3.3804e-13,-1.2356e-07,0,0.022266,1,28,1,28,0
0.19254,-3.4832e-13,-1.2356e-07,0,0.022267,1,29,1,29,0
0.19253,-3.585e-13,-1.2357e-07,0,0.022269,1,30,1,30,0
0.19253,-3.6857e-13,-1.2357e-07,0,0.02227,1,31,1,31,0
0.19252,-3.7852e-13,-1.2357e-07,0,0.022272,1,32,1,32,0
0.19252,-3.8838e-13,-1.2358e-07,0,0.022273,1,33,1,33,0
0.19251,-3.9812e-13,-1.2358e-07,0,0.022275,1,34,1,34,0
0.1925,-4.0776e-13,-1.2359e-07,0,0.022277,1,35,1,35,0
0.1925,-4.1728e-13,-1.2359e-07,0,0.022278,1,36,1,36,0
0.19249,-4.2671e-13,-1.236e-07,0,0.02228,1,37,1,37,0
0.19249,-4.3602e-13,-1.236e-07,0,0.022281,1,38,1,38,0
0.19248,-4.4522e-13,-1.236e-07,0,0.022283,1,39,1,39,0
0.19247,-4.5432e-13,-1.2361e-07,0,0.022284,1,40,1,40,0
0.19247,-4.6331e-13,-1.2361e-07,0,0.022286,1,41,1,41,0
0.19246,-4.722e-13,-1.2362e-07,0,0.022287,1,42,1,42,0
0.19246,-4.8097e-13,-1.2362e-07,0,0.022289,1,43,1,43,0
0.19245,-4.8964e-13,-1.2363e-07,0,0.022291,1,44,1,44,0
0.19245,-4.982e-13,-1.2363e-07,0,0.022292,1,45,1,45,0
0.19244,-5.0665e-13,-1.2364e-07,0,0.022294,1,46,1,46,0
0.19243,-5.15e-13,-1.2364e-07,0,0.022295,1,47,1,47,0
0.19243,-5.2323e-13,-1.2364e-07,0,0.022297,1,48,1,48,0
0.19242,-5.3136e-13,-1.2365e-07,0,0.022298,1,49,1,49,0
0.19242,-5.3939e-13,-1.2365e-07,0,0.0223,1,50,1,50,0
0.19241,-5.473e-13,-1.2366e-07,0,0.022301,1,51,1,51,0
0.19241,-5.5511e-13,-1.2366e-07,0,0.022303,1,52,1,52,0
0.1924,-5.628e-13,-1.2367e-07,0,0.022305,1,53,1,53,0
0.19239,-5.7039e-13,-1.2367e-07,0,0.022306,1,54,1,54,0
0.19239,-5.7787e-13,-1.2368e-07,0,0.022308,1,55,1,55,0
0.19238,-5.8526e-13,-1.2368e-07,0,0.022309,1,56,1,56,0
0.19238,-5.9251e-13,-1.2369e-07,0,0.022311,1,57,1,57,0
0.19237,-5.9968e-13,-1.2369e-07,0,0.022312,1,58,1,58,0
0.19236,-6.0673e-13,-1.237e-07,0,0.022314,1,59,1,59,0
0.19236,-6.1368e-13,-1.237e-07,0,0.022315,1,60,1,60,0
0.19235,-6.2051e-13,-1.2371e-07,0,0.022317,1,61,1,61,0
0.19235,-6.2724e-13,-1.2371e-07,0,0.022319,1,62,1,62,0
0.19234,-6.3386e-13,-1.2372e-07,0,0.02232,1,63,1,63,0
0.19234,-6.4038e-13,-1.2372e-07,0,0.022322,1,64,1,64,0
0.19233,-6.4678e-13,-1.2373e-07,0,0.022323,1,65,1,65,0
0.19232,-6.5308e-13,-1.2373e-07,0,0.022325,1,66,1,66,0
0.19232,-6.5927e-13,-1.2374e-07,0,0.022326,1,67,1,67,0
0.19231,-6.6535e-13,-1.2374e-07,0,0.022328,1,68,1,68,0
0.19231,-6.7132e-13,-1.2375e-07,0,0.022329,1,69,1,69,0
0.1923,-6.7719e-13,-1.2375e-07,0,0.022331,1,70,1,70,0
0.19229,-6.8295e-13,-1.2376e-07,0,0.022333,1,71,1,71,0
0.19229,-6.886e-13,-1.2376e-07,0,0.022334,1,72,1,72,0
0.19228,-6.9414e-13,-1.2377e-07,0,0.022336,1,73,1,73,0
0.19228,-6.9957e-13,-1.2377e-07,0,0.022337,1,74,1,74,0
0.19227,-7.049e-13,-1.2378e-07,0,0.022339,1,75,1,75,0
0.19227,-7.1012e-13,-1.2378e-07,0,0.02234,1,76,1,76,0
0.19226,-7.1523e-13,-1.2379e-07,0,0.022342,1,77,1,77,0
0.19225,-7.2023e-13,-1.2379e-07,0,0.022343,1,78,1,78,0
0.19225,-7.2513e-13,-1.238e-07,0,0.022345,1,79,1,79,0
0.19224,-7.2991e-13,-1.238e-07,0,0.022347,1,80,1,80,0
0.19224,-7.3459e-13,-1.2381e-07,0,0.022348,1,81,1,81,0
0.19223,-7.3916e-13,-1.2381e-07,0,0.02235,1,82,1,82,0
0.19222,-7.4362e-13,-1.2382e-07,0,0.022351,1,83,1,83,0
0.19222,-7.4798e-13,-1.2383e-07,0,0.022353,1,84,1,84,0
0.19221,-7.5222e-13,-1.2383e-07,0,0.022354,1,85,1,85,0
0.19221,-7.5636e-13,-1.2384e-07,0,0.022356,1,86,1,86,0
0.1922,-7.6039e-13,-1.2384e-07,0,0.022357,1,87,1,87,0
0.1922,-7.6431e-13,-1.2385e-07,0,0.022359,1,88,1,88,0
0.19219,-7.6813e-13,-1.2385e-07,0,0.022361,1,89,1,89,0
0.19218,-7.7183e-13,-1.2386e-07,0,0.022362,1,90,1,90,0
0.19218,-7.7543e-13,-1.2386e-07,0,0.022364,1,91,1,91,0
0.19217,-7.7892e-13,-1.2387e-07,0,0.022365,1,92,1,92,0
0.19217,-7.823e-13,-1.2388e-07,0,0.022367,1,93,1,93,0
0.19216,-7.8558e-13,-1.2388e-07,0,0.022368,1,94,1,94,0
0.19216,-7.8874e-13,-1.2389e-07,0,0.02237,1,95,1,95,0
0.19215,-7.918e-13,-1.2389e-07,0,0.022371,1,96,1,96,0
0.19214,-7.9475e-13,-1.239e-07,0,0.022373,1,97,1,97,0
0.19214,-7.9759e-13,-1.239e-07,0,0.022375,1,98,1,98,0
0.19213,-8.0032e-13,-1.2391e-07,0,0.022376,1,99,1,99,0
0.19213,-8.0295e-13,-1.2392e-07,0,0.022378,1,100,1,100,0
0.19212,-8.0547e-13,-1.2392e-07,0,0.022379,1,101,1,101,0
0.19211,-8.0787e-13,-1.2393e-07,0,0.022381,1,102,1,102,0
