"rho","U:0","U:1","U:2","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.16177,5.5039e-14,-6.1728e-08,0,0.02963,1,0,1,0,0
0.16176,1.724e-13,-6.1611e-08,0,0.029632,1,1,1,1,0
0.16175,2.8041e-13,-6.1498e-08,0,0.029634,1,2,1,2,0
0.16174,3.8841e-13,-6.1389e-08,0,0.029636,1,3,1,3,0
0.16173,4.9632e-13,-6.1283e-08,0,0.029639,1,4,1,4,0
0.16171,6.042e-13,-6.118e-08,0,0.029641,1,5,1,5,0
0.1617,7.1192e-13,-6.108e-08,0,0.029643,1,6,1,6,0
0.16168,8.1958e-13,-6.0984e-08,0,0.029645,1,7,1,7,0
0.16167,9.2715e-13,-6.089e-08,0,0.029648,1,8,1,8,0
0.16166,1.0345e-12,-6.08e-08,0,0.02965,1,9,1,9,0
0.16164,1.1419e-12,-6.0713e-08,0,0.029652,1,10,1,10,0
0.16163,1.2491e-12,-6.0629e-08,0,0.029654,1,11,1,11,0
0.16162,1.3562e-12,-6.0548e-08,0,0.029657,1,12,1,12,0
0.1616,1.4632e-12,-6.047e-08,0,0.029659,1,13,1,13,0
0.16159,1.57e-12,-6.0395e-08,0,0.029661,1,14,1,14,0
0.16157,1.6768e-12,-6.0324e-08,0,0.029664,1,15,1,15,0
0.16156,1.7834e-12,-6.0255e-08,0,0.029666,1,16,1,16,0
0.16155,1.8899e-12,-6.019e-08,0,0.029668,1,17,1,17,0
0.16153,1.9963e-12,-6.0128e-08,0,0.02967,1,18,1,18,0
0.16152,2.1026e-12,-6.0069e-08,0,0.029673,1,19,1,19,0
0.1615,2.2088e-12,-6.0014e-08,0,0.029675,1,20,1,20,0
0.16149,2.3149e-12,-5.9961e-08,0,0.029677,1,21,1,21,0
0.16148,2.4209e-12,-5.9912e-08,0,0.029679,1,22,1,22,0
0.16146,2.5267e-12,-5.9865e-08,0,0.029682,1,23,1,23,0
0.16145,2.6324e-12,-5.9822e-08,0,0.029684,1,24,1,24,0
0.16143,2.738e-12,-5.9783e-08,0,0.029686,1,25,1,25,0
0.16142,2.8435e-12,-5.9746e-08,0,0.029688,1,26,1,26,0
0.16141,2.9488e-12,-5.9713e-08,0,0.029691,1,27,1,27,0
0.16139,3.054e-12,-5.9682e-08,0,0.029693,1,28,1,28,0
0.16138,3.159e-12,-5.9655e-08,0,0.029695,1,29,1,29,0
0.16137,3.2639e-12,-5.9631e-08,0,0.029698,1,30,1,30,0
0.16135,3.3686e-12,-5.9611e-08,0,0.0297,1,31,1,31,0
0.16134,3.4732e-12,-5.9593e-08,0,0.029702,1,32,1,32,0
0.16132,3.5776e-12,-5.9579e-08,0,0.029704,1,33,1,33,0
0.16131,3.6819e-12,-5.9568e-08,0,0.029707,1,34,1,34,0
0.1613,3.786e-12,-5.9561e-08,0,0.029709,1,35,1,35,0
0.16128,3.8899e-12,-5.9556e-08,0,0.029711,1,36,1,36,0
0.16127,3.9937e-12,-5.9555e-08,0,0.029713,1,37,1,37,0
0.16125,4.0973e-12,-5.9557e-08,0,0.029716,1,38,1,38,0
0.16124,4.2007e-12,-5.9562e-08,0,0.029718,1,39,1,39,0
0.16123,4.3039e-12,-5.957e-08,0,0.02972,1,40,1,40,0
0.16121,4.407e-12,-5.9582e-08,0,0.029723,1,41,1,41,0
