"rho","U:0","U:1","U:2","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.16174,-8.5907e-11,-6.1728e-08,0,0.014815,1,0,1,0,0
0.16174,1.0026e-10,-6.1637e-08,0,0.014817,1,1,1,1,0
0.16172,2.2199e-10,-6.1552e-08,0,0.014819,1,2,1,2,0
0.1617,3.4372e-10,-6.1474e-08,0,0.014822,1,3,1,3,0
0.16167,4.6542e-10,-6.14e-08,0,0.014824,1,4,1,4,0
0.16164,5.8708e-10,-6.1332e-08,0,0.014826,1,5,1,5,0
0.16162,7.0868e-10,-6.127e-08,0,0.014829,1,6,1,6,0
0.16159,8.3022e-10,-6.1212e-08,0,0.014831,1,7,1,7,0
0.16156,9.5168e-10,-6.1159e-08,0,0.014833,1,8,1,8,0
0.16153,1.073e-09,-6.1112e-08,0,0.014836,1,9,1,9,0
0.1615,1.1943e-09,-6.107e-08,0,0.014838,1,10,1,10,0
0.16148,1.3154e-09,-6.1033e-08,0,0.01484,1,11,1,11,0
0.16145,1.4364e-09,-6.1001e-08,0,0.014842,1,12,1,12,0
0.16142,1.5572e-09,-6.0974e-08,0,0.014845,1,13,1,13,0
0.16139,1.6778e-09,-6.0953e-08,0,0.014847,1,14,1,14,0
0.16136,1.7983e-09,-6.0937e-08,0,0.014849,1,15,1,15,0
0.16133,1.9185e-09,-6.0926e-08,0,0.014852,1,16,1,16,0
0.16131,2.0386e-09,-6.092e-08,0,0.014854,1,17,1,17,0
0.16128,2.1584e-09,-6.0919e-08,0,0.014856,1,18,1,18,0
0.16125,2.2779e-09,-6.0924e-08,0,0.014859,1,19,1,19,0
0.16122,2.3972e-09,-6.0934e-08,0,0.014861,1,20,1,20,0
0.16119,2.5162e-09,-6.0949e-08,0,0.014863,1,21,1,21,0
0.16116,2.6349e-09,-6.097e-08,0,0.014866,1,22,1,22,0
0.16114,2.7533e-09,-6.0996e-08,0,0.014868,1,23,1,23,0
0.16111,2.8714e-09,-6.1027e-08,0,0.01487,1,24,1,24,0
0.16108,2.9891e-09,-6.1063e-08,0,0.014872,1,25,1,25,0
0.16105,3.1065e-09,-6.1105e-08,0,0.014875,1,26,1,26,0
0.16102,3.2235e-09,-6.1152e-08,0,0.014877,1,27,1,27,0
0.16099,3.3402e-09,-6.1205e-08,0,0.014879,1,28,1,28,0
0.16096,3.4564e-09,-6.1263e-08,0,0.014882,1,29,1,29,0
0.16094,3.5723e-09,-6.1326e-08,0,0.014884,1,30,1,30,0
0.16091,3.6877e-09,-6.1394e-08,0,0.014886,1,31,1,31,0
0.16088,3.8026e-09,-6.1468e-08,0,0.014889,1,32,1,32,0
0.16085,3.9171e-09,-6.1547e-08,0,0.014891,1,33,1,33,0
0.16082,4.0312e-09,-6.1632e-08,0,0.014893,1,34,1,34,0
0.16079,4.1447e-09,-6.1722e-08,0,0.014896,1,35,1,35,0
0.16076,4.2578e-09,-6.1817e-08,0,0.014898,1,36,1,36,0
0.16073,4.3703e-09,-6.1918e-08,0,0.0149,1,37,1,37,0
0.16071,4.4824e-09,-6.2024e-08,0,0.014903,1,38,1,38,0
0.16068,4.5938e-09,-6.2136e-08,0,0.014905,1,39,1,39,0
0.16065,4.7048e-09,-6.2253e-08,0,0.014907,1,40,1,40,0
0.16062,4.8151e-09,-6.2375e-08,0,0.01491,1,41,1,41,0
0.16059,4.9249e-09,-6.2503e-08,0,0.014912,1,42,1,42,0
0.16056,5.0341e-09,-6.2636e-08,0,0.014914,1,43,1,43,0
0.16053,5.1426e-09,-6.2775e-08,0,0.014917,1,44,1,44,0
0.1605,5.2506e-09,-6.2919e-08,0,0.014919,1,45,1,45,0
0.16047,5.3579e-09,-6.3068e-08,0,0.014921,1,46,1,46,0
0.16044,5.4646e-09,-6.3223e-08,0,0.014923,1,47,1,47,0
0.16042,5.5705e-09,-6.3383e-08,0,0.014926,1,48,1,48,0
0.16039,5.6759e-09,-6.3549e-08,0,0.014928,1,49,1,49,0
0.16036,5.7805e-09,-6.372e-08,0,0.01493,1,50,1,50,0
0.16033,5.8844e-09,-6.3896e-08,0,0.014933,1,51,1,51,0
0.1603,5.9876e-09,-6.4078e-08,0,0.014935,1,52,1,52,0
0.16027,6.0901e-09,-6.4265e-08,0,0.014937,1,53,1,53,0
0.16024,6.1918e-09,-6.4458e-08,0,0.01494,1,54,1,54,0
0.16021,6.2928e-09,-6.4656e-08,0,0.014942,1,55,1,55,0
0.16018,6.393e-09,-6.4859e-08,0,0.014944,1,56,1,56,0
0.16015,6.4924e-09,-6.5068e-08,0,0.014947,1,57,1,57,0
0.16012,6.5911e-09,-6.5283e-08,0,0.014949,1,58,1,58,0
0.16009,6.6889e-09,-6.5502e-08,0,0.014951,1,59,1,59,0
0.16006,6.7859e-09,-6.5727e-08,0,0.014954,1,60,1,60,0
0.16003,6.8821e-09,-6.5958e-08,0,0.014956,1,61,1,61,0
0.16001,6.9774e-09,-6.6193e-08,0,0.014958,1,62,1,62,0
0.15998,7.0719e-09,-6.6435e-08,0,0.014961,1,63,1,63,0
0.15995,7.1655e-09,-6.6681e-08,0,0.014963,1,64,1,64,0
0.15992,7.2583e-09,-6.6933e-08,0,0.014965,1,65,1,65,0
0.15989,7.3501e-09,-6.719e-08,0,0.014968,1,66,1,66,0
0.15986,7.4411e-09,-6.7453e-08,0,0.01497,1,67,1,67,0
0.15983,7.5311e-09,-6.7721e-08,0,0.014972,1,68,1,68,0
0.1598,7.6202e-09,-6.7994e-08,0,0.014975,1,69,1,69,0
0.15977,7.7084e-09,-6.8273e-08,0,0.014977,1,70,1,70,0
0.15974,7.7956e-09,-6.8557e-08,0,0.014979,1,71,1,71,0
0.15971,7.8819e-09,-6.8846e-08,0,0.014982,1,72,1,72,0
0.15968,7.9672e-09,-6.914e-08,0,0.014984,1,73,1,73,0
0.15965,8.0515e-09,-6.944e-08,0,0.014986,1,74,1,74,0
0.15962,8.1348e-09,-6.9745e-08,0,0.014989,1,75,1,75,0
0.15959,8.2171e-09,-7.0056e-08,0,0.014991,1,76,1,76,0
0.15956,8.2985e-09,-7.0371e-08,0,0.014993,1,77,1,77,0
0.15953,8.3787e-09,-7.0692e-08,0,0.014996,1,78,1,78,0
0.1595,8.458e-09,-7.1018e-08,0,0.014998,1,79,1,79,0
0.15947,8.5362e-09,-7.1349e-08,0,0.015,1,80,1,80,0
0.15944,8.6134e-09,-7.1686e-08,0,0.015003,1,81,1,81,0
0.15941,8.6895e-09,-7.2028e-08,0,0.015005,1,82,1,82,0
0.15938,8.7645e-09,-7.2375e-08,0,0.015007,1,83,1,83,0
0.15935,8.8384e-09,-7.2727e-08,0,0.01501,1,84,1,84,0
0.15932,8.9113e-09,-7.3084e-08,0,0.015012,1,85,1,85,0
0.15929,8.9831e-09,-7.3446e-08,0,0.015014,1,86,1,86,0
0.15926,9.0537e-09,-7.3814e-08,0,0.015017,1,87,1,87,0
0.15923,9.1232e-09,-7.4186e-08,0,0.015019,1,88,1,88,0
0.1592,9.1916e-09,-7.4564e-08,0,0.015021,1,89,1,89,0
0.15917,9.2589e-09,-7.4947e-08,0,0.015024,1,90,1,90,0
0.15914,9.325e-09,-7.5335e-08,0,0.015026,1,91,1,91,0
0.15911,9.39e-09,-7.5728e-08,0,0.015028,1,92,1,92,0
0.15908,9.4538e-09,-7.6126e-08,0,0.015031,1,93,1,93,0
0.15905,9.5164e-09,-7.6529e-08,0,0.015033,1,94,1,94,0
0.15902,9.5779e-09,-7.6937e-08,0,0.015035,1,95,1,95,0
0.15899,9.6381e-09,-7.7349e-08,0,0.015038,1,96,1,96,0
0.15896,9.6972e-09,-7.7767e-08,0,0.01504,1,97,1,97,0
0.15893,9.7551e-09,-7.819e-08,0,0.015042,1,98,1,98,0
0.1589,9.8118e-09,-7.8618e-08,0,0.015045,1,99,1,99,0
0.15887,9.8672e-09,-7.9051e-08,0,0.015047,1,100,1,100,0
0.15883,9.9214e-09,-7.9488e-08,0,0.015049,1,101,1,101,0
0.1588,9.9744e-09,-7.9931e-08,0,0.015052,1,102,1,102,0
0.15877,1.0026e-08,-8.0378e-08,0,0.015054,1,103,1,103,0
0.15874,1.0077e-08,-8.083e-08,0,0.015057,1,104,1,104,0
0.15871,1.0126e-08,-8.1287e-08,0,0.015059,1,105,1,105,0
0.15868,1.0174e-08,-8.1748e-08,0,0.015061,1,106,1,106,0
0.15865,1.0221e-08,-8.2215e-08,0,0.015064,1,107,1,107,0
