"rho","U:0","U:1","U:2","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.32366,8.6077e-15,-2.4691e-07,0,0.059259,1,0,1,0,0
0.32364,2.6618e-14,-2.4692e-07,0,0.059268,1,1,1,1,0
0.32359,4.3209e-14,-2.4694e-07,0,0.059277,1,2,1,2,0
0.32354,5.9698e-14,-2.4697e-07,0,0.059286,1,3,1,3,0
0.32348,7.6161e-14,-2.47e-07,0,0.059295,1,4,1,4,0
0.32343,9.2522e-14,-2.4703e-07,0,0.059304,1,5,1,5,0
0.32337,1.0876e-13,-2.4706e-07,0,0.059313,1,6,1,6,0
0.32332,1.2487e-13,-2.4709e-07,0,0.059322,1,7,1,7,0
0.32326,1.4088e-13,-2.4712e-07,0,0.059331,1,8,1,8,0
0.32321,1.5672e-13,-2.4715e-07,0,0.05934,1,9,1,9,0
0.32315,1.7248e-13,-2.4718e-07,0,0.059349,1,10,1,10,0
0.3231,1.8809e-13,-2.4721e-07,0,0.059358,1,11,1,11,0
0.32304,2.036e-13,-2.4724e-07,0,0.059367,1,12,1,12,0
0.32299,2.1897e-13,-2.4728e-07,0,0.059376,1,13,1,13,0
0.32293,2.3422e-13,-2.4731e-07,0,0.059385,1,14,1,14,0
0.32288,2.4935e-13,-2.4734e-07,0,0.059394,1,15,1,15,0
0.32282,2.6435e-13,-2.4737e-07,0,0.059403,1,16,1,16,0
0.32277,2.7923e-13,-2.4741e-07,0,0.059412,1,17,1,17,0
0.32271,2.9398e-13,-2.4744e-07,0,0.059421,1,18,1,18,0
0.32266,3.0861e-13,-2.4747e-07,0,0.05943,1,19,1,19,0
0.3226,3.2312e-13,-2.4751e-07,0,0.059439,1,20,1,20,0
0.32255,3.375e-13,-2.4754e-07,0,0.059448,1,21,1,21,0
0.32249,3.5175e-13,-2.4758e-07,0,0.059457,1,22,1,22,0
0.32244,3.6591e-13,-2.4761e-07,0,0.059466,1,23,1,23,0
0.32238,3.799e-13,-2.4765e-07,0,0.059475,1,24,1,24,0
0.32233,3.9379e-13,-2.4768e-07,0,0.059484,1,25,1,25,0
0.32227,4.0755e-13,-2.4772e-07,0,0.059493,1,26,1,26,0
0.32222,4.2119e-13,-2.4776e-07,0,0.059502,1,27,1,27,0
0.32216,4.347e-13,-2.4779e-07,0,0.059511,1,28,1,28,0
0.3221,4.4809e-13,-2.4783e-07,0,0.05952,1,29,1,29,0
0.32205,4.6136e-13,-2.4787e-07,0,0.059529,1,30,1,30,0
0.32199,4.7452e-13,-2.479e-07,0,0.059538,1,31,1,31,0
0.32194,4.8763e-13,-2.4794e-07,0,0.059547,1,32,1,32,0
0.32188,5.0055e-13,-2.4798e-07,0,0.059556,1,33,1,33,0
0.32183,5.1342e-13,-2.4802e-07,0,0.059565,1,34,1,34,0
0.32177,5.2619e-13,-2.4806e-07,0,0.059574,1,35,1,35,0
0.32171,5.3883e-13,-2.481e-07,0,0.059583,1,36,1,36,0
0.32166,5.5135e-13,-2.4814e-07,0,0.059592,1,37,1,37,0
0.3216,5.6375e-13,-2.4818e-07,0,0.059601,1,38,1,38,0
0.32155,5.7602e-13,-2.4822e-07,0,0.05961,1,39,1,39,0
0.32149,5.8815e-13,-2.4826e-07,0,0.059619,1,40,1,40,0
0.32143,6.0018e-13,-2.483e-07,0,0.059628,1,41,1,41,0
0.32138,6.1206e-13,-2.4834e-07,0,0.059637,1,42,1,42,0
0.32132,6.2385e-13,-2.4838e-07,0,0.059646,1,43,1,43,0
0.32127,6.3547e-13,-2.4842e-07,0,0.059655,1,44,1,44,0
0.32121,6.4702e-13,-2.4846e-07,0,0.059664,1,45,1,45,0
0.32115,6.5852e-13,-2.4851e-07,0,0.059673,1,46,1,46,0
0.3211,6.6991e-13,-2.4855e-07,0,0.059682,1,47,1,47,0
0.32104,6.8119e-13,-2.4859e-07,0,0.059691,1,48,1,48,0
0.32098,6.9232e-13,-2.4863e-07,0,0.0597,1,49,1,49,0
0.32093,7.0336e-13,-2.4868e-07,0,0.059709,1,50,1,50,0
0.32087,7.1425e-13,-2.4872e-07,0,0.059718,1,51,1,51,0
0.32081,7.2502e-13,-2.4877e-07,0,0.059727,1,52,1,52,0
0.32076,7.3566e-13,-2.4881e-07,0,0.059736,1,53,1,53,0
0.3207,7.4617e-13,-2.4886e-07,0,0.059745,1,54,1,54,0
0.32064,7.5656e-13,-2.489e-07,0,0.059754,1,55,1,55,0
0.32059,7.6683e-13,-2.4895e-07,0,0.059763,1,56,1,56,0
0.32053,7.7696e-13,-2.4899e-07,0,0.059773,1,57,1,57,0
