"rho","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.13827,1.11e-09,-6.1728e-08,0,1,0,1,0,0
0.13827,-9.6279e-10,-6.1728e-08,0,1,1,1,1,0
0.13827,-2.2031e-09,-6.1728e-08,0,1,2,1,2,0
0.13826,-3.4433e-09,-6.1728e-08,0,1,3,1,3,0
0.13826,-4.6834e-09,-6.1728e-08,0,1,4,1,4,0
0.13826,-5.9233e-09,-6.1728e-08,0,1,5,1,5,0
0.13826,-7.1631e-09,-6.1728e-08,0,1,6,1,6,0
0.13826,-8.4027e-09,-6.1728e-08,0,1,7,1,7,0
0.13826,-9.642e-09,-6.1728e-08,0,1,8,1,8,0
0.13826,-1.0881e-08,-6.1728e-08,0,1,9,1,9,0
0.13826,-1.212e-08,-6.1728e-08,0,1,10,1,10,0
0.13826,-1.3358e-08,-6.1728e-08,0,1,11,1,11,0
0.13826,-1.4596e-08,-6.1728e-08,0,1,12,1,12,0
0.13826,-1.5834e-08,-6.1728e-08,0,1,13,1,13,0
0.13826,-1.7071e-08,-6.1728e-08,0,1,14,1,14,0
0.13826,-1.8307e-08,-6.1727e-08,0,1,15,1,15,0
0.13826,-1.9543e-08,-6.1727e-08,0,1,16,1,16,0
0.13826,-2.0779e-08,-6.1727e-08,0,1,17,1,17,0
0.13826,-2.2014e-08,-6.1727e-08,0,1,18,1,18,0
0.13826,-2.3248e-08,-6.1727e-08,0,1,19,1,19,0
0.13826,-2.4481e-08,-6.1727e-08,0,1,20,1,20,0
0.13826,-2.5714e-08,-6.1727e-08,0,1,21,1,21,0
0.13826,-2.6946e-08,-6.1727e-08,0,1,22,1,22,0
0.13826,-2.8177e-08,-6.1727e-08,0,1,23,1,23,0
0.13826,-2.9407e-08,-6.1727e-08,0,1,24,1,24,0
0.13826,-3.0637e-08,-6.1727e-08,0,1,25,1,25,0
0.13826,-3.1865e-08,-6.1727e-08,0,1,26,1,26,0
0.13826,-3.3093e-08,-6.1727e-08,0,1,27,1,27,0
0.13826,-3.432e-08,-6.1727e-08,0,1,28,1,28,0
0.13826,-3.5545e-08,-6.1727e-08,0,1,29,1,29,0
0.13826,-3.677e-08,-6.1727e-08,0,1,30,1,30,0
0.13826,-3.7993e-08,-6.1727e-08,0,1,31,1,31,0
0.13826,-3.9215e-08,-6.1727e-08,0,1,32,1,32,0
0.13826,-4.0437e-08,-6.1727e-08,0,1,33,1,33,0
0.13826,-4.1656e-08,-6.1727e-08,0,1,34,1,34,0
0.13826,-4.2875e-08,-6.1727e-08,0,1,35,1,35,0
0.13826,-4.4093e-08,-6.1727e-08,0,1,36,1,36,0
0.13825,-4.5309e-08,-6.1727e-08,0,1,37,1,37,0
0.13825,-4.6523e-08,-6.1726e-08,0,1,38,1,38,0
0.13825,-4.7737e-08,-6.1726e-08,0,1,39,1,39,0
0.13825,-4.8949e-08,-6.1726e-08,0,1,40,1,40,0
0.13825,-5.0159e-08,-6.1726e-08,0,1,41,1,41,0
0.13825,-5.1368e-08,-6.1726e-08,0,1,42,1,42,0
0.13825,-5.2576e-08,-6.1726e-08,0,1,43,1,43,0
0.13825,-5.3782e-08,-6.1726e-08,0,1,44,1,44,0
0.13825,-5.4986e-08,-6.1726e-08,0,1,45,1,45,0
0.13825,-5.6188e-08,-6.1726e-08,0,1,46,1,46,0
0.13825,-5.7389e-08,-6.1726e-08,0,1,47,1,47,0
0.13825,-5.8589e-08,-6.1726e-08,0,1,48,1,48,0
0.13825,-5.9786e-08,-6.1726e-08,0,1,49,1,49,0
0.13825,-6.0982e-08,-6.1726e-08,0,1,50,1,50,0
0.13825,-6.2176e-08,-6.1726e-08,0,1,51,1,51,0
0.13825,-6.3368e-08,-6.1726e-08,0,1,52,1,52,0
0.13825,-6.4558e-08,-6.1726e-08,0,1,53,1,53,0
0.13825,-6.5746e-08,-6.1726e-08,0,1,54,1,54,0
0.13825,-6.6933e-08,-6.1726e-08,0,1,55,1,55,0
0.13825,-6.8117e-08,-6.1726e-08,0,1,56,1,56,0
0.13825,-6.9299e-08,-6.1726e-08,0,1,57,1,57,0
0.13825,-7.0479e-08,-6.1726e-08,0,1,58,1,58,0
0.13825,-7.1658e-08,-6.1726e-08,0,1,59,1,59,0
0.13825,-7.2834e-08,-6.1726e-08,0,1,60,1,60,0
0.13825,-7.4007e-08,-6.1726e-08,0,1,61,1,61,0
0.13825,-7.5179e-08,-6.1725e-08,0,1,62,1,62,0
0.13825,-7.6348e-08,-6.1725e-08,0,1,63,1,63,0
0.13825,-7.7515e-08,-6.1725e-08,0,1,64,1,64,0
0.13825,-7.868e-08,-6.1725e-08,0,1,65,1,65,0
0.13825,-7.9843e-08,-6.1725e-08,0,1,66,1,66,0
0.13825,-8.1003e-08,-6.1725e-08,0,1,67,1,67,0
0.13825,-8.216e-08,-6.1725e-08,0,1,68,1,68,0
0.13825,-8.3315e-08,-6.1725e-08,0,1,69,1,69,0
0.13825,-8.4468e-08,-6.1725e-08,0,1,70,1,70,0
0.13824,-8.5618e-08,-6.1725e-08,0,1,71,1,71,0
0.13824,-8.6766e-08,-6.1725e-08,0,1,72,1,72,0
0.13824,-8.7911e-08,-6.1725e-08,0,1,73,1,73,0
0.13824,-8.9053e-08,-6.1725e-08,0,1,74,1,74,0
0.13824,-9.0193e-08,-6.1725e-08,0,1,75,1,75,0
0.13824,-9.133e-08,-6.1725e-08,0,1,76,1,76,0
0.13824,-9.2464e-08,-6.1725e-08,0,1,77,1,77,0
0.13824,-9.3596e-08,-6.1725e-08,0,1,78,1,78,0
0.13824,-9.4725e-08,-6.1725e-08,0,1,79,1,79,0
0.13824,-9.5851e-08,-6.1725e-08,0,1,80,1,80,0
0.13824,-9.6974e-08,-6.1725e-08,0,1,81,1,81,0
0.13824,-9.8094e-08,-6.1725e-08,0,1,82,1,82,0
0.13824,-9.9211e-08,-6.1725e-08,0,1,83,1,83,0
0.13824,-1.0033e-07,-6.1725e-08,0,1,84,1,84,0
0.13824,-1.0144e-07,-6.1725e-08,0,1,85,1,85,0
0.13824,-1.0255e-07,-6.1725e-08,0,1,86,1,86,0
0.13824,-1.0365e-07,-6.1724e-08,0,1,87,1,87,0
0.13824,-1.0475e-07,-6.1724e-08,0,1,88,1,88,0
0.13824,-1.0585e-07,-6.1724e-08,0,1,89,1,89,0
0.13824,-1.0695e-07,-6.1724e-08,0,1,90,1,90,0
0.13824,-1.0804e-07,-6.1724e-08,0,1,91,1,91,0
0.13824,-1.0913e-07,-6.1724e-08,0,1,92,1,92,0
0.13824,-1.1022e-07,-6.1724e-08,0,1,93,1,93,0
0.13824,-1.113e-07,-6.1724e-08,0,1,94,1,94,0
0.13824,-1.1238e-07,-6.1724e-08,0,1,95,1,95,0
0.13824,-1.1345e-07,-6.1724e-08,0,1,96,1,96,0
0.13824,-1.1453e-07,-6.1724e-08,0,1,97,1,97,0
0.13824,-1.156e-07,-6.1724e-08,0,1,98,1,98,0
0.13824,-1.1666e-07,-6.1724e-08,0,1,99,1,99,0
0.13824,-1.1773e-07,-6.1724e-08,0,1,100,1,100,0
0.13824,-1.1878e-07,-6.1724e-08,0,1,101,1,101,0
0.13824,-1.1984e-07,-6.1724e-08,0,1,102,1,102,0
0.13824,-1.2089e-07,-6.1724e-08,0,1,103,1,103,0
0.13823,-1.2194e-07,-6.1724e-08,0,1,104,1,104,0
0.13823,-1.2299e-07,-6.1724e-08,0,1,105,1,105,0
0.13823,-1.2403e-07,-6.1724e-08,0,1,106,1,106,0
0.13823,-1.2506e-07,-6.1724e-08,0,1,107,1,107,0
0.13823,-1.261e-07,-6.1724e-08,0,1,108,1,108,0
0.13823,-1.2713e-07,-6.1724e-08,0,1,109,1,109,0
0.13823,-1.2815e-07,-6.1724e-08,0,1,110,1,110,0
0.13823,-1.2918e-07,-6.1724e-08,0,1,111,1,111,0
0.13823,-1.3019e-07,-6.1724e-08,0,1,112,1,112,0
0.13823,-1.3121e-07,-6.1724e-08,0,1,113,1,113,0
0.13823,-1.3222e-07,-6.1724e-08,0,1,114,1,114,0
0.13823,-1.3323e-07,-6.1723e-08,0,1,115,1,115,0
0.13823,-1.3423e-07,-6.1723e-08,0,1,116,1,116,0
0.13823,-1.3523e-07,-6.1723e-08,0,1,117,1,117,0
0.13823,-1.3622e-07,-6.1723e-08,0,1,118,1,118,0
0.13823,-1.3721e-07,-6.1723e-08,0,1,119,1,119,0
0.13823,-1.382e-07,-6.1723e-08,0,1,120,1,120,0
0.13823,-1.3918e-07,-6.1723e-08,0,1,121,1,121,0
0.13823,-1.4016e-07,-6.1723e-08,0,1,122,1,122,0
0.13823,-1.4113e-07,-6.1723e-08,0,1,123,1,123,0
0.13823,-1.421e-07,-6.1723e-08,0,1,124,1,124,0
0.13823,-1.4307e-07,-6.1723e-08,0,1,125,1,125,0
0.13823,-1.4403e-07,-6.1723e-08,0,1,126,1,126,0
0.13823,-1.4499e-07,-6.1723e-08,0,1,127,1,127,0
0.13823,-1.4594e-07,-6.1723e-08,0,1,128,1,128,0
0.13823,-1.4689e-07,-6.1723e-08,0,1,129,1,129,0
0.13823,-1.4783e-07,-6.1723e-08,0,1,130,1,130,0
0.13823,-1.4877e-07,-6.1723e-08,0,1,131,1,131,0
0.13823,-1.4971e-07,-6.1723e-08,0,1,132,1,132,0
0.13823,-1.5064e-07,-6.1723e-08,0,1,133,1,133,0
0.13823,-1.5156e-07,-6.1723e-08,0,1,134,1,134,0
0.13823,-1.5248e-07,-6.1723e-08,0,1,135,1,135,0
0.13823,-1.534e-07,-6.1723e-08,0,1,136,1,136,0
0.13822,-1.5431e-07,-6.1723e-08,0,1,137,1,137,0
0.13822,-1.5522e-07,-6.1723e-08,0,1,138,1,138,0
0.13822,-1.5612e-07,-6.1723e-08,0,1,139,1,139,0
0.13822,-1.5702e-07,-6.1723e-08,0,1,140,1,140,0
0.13822,-1.5792e-07,-6.1723e-08,0,1,141,1,141,0
0.13822,-1.5881e-07,-6.1723e-08,0,1,142,1,142,0
0.13822,-1.5969e-07,-6.1723e-08,0,1,143,1,143,0
0.13822,-1.6057e-07,-6.1723e-08,0,1,144,1,144,0
0.13822,-1.6144e-07,-6.1723e-08,0,1,145,1,145,0
0.13822,-1.6231e-07,-6.1723e-08,0,1,146,1,146,0
0.13822,-1.6318e-07,-6.1722e-08,0,1,147,1,147,0
0.13822,-1.6404e-07,-6.1722e-08,0,1,148,1,148,0
0.13822,-1.649e-07,-6.1722e-08,0,1,149,1,149,0
0.13822,-1.6575e-07,-6.1722e-08,0,1,150,1,150,0
0.13822,-1.6659e-07,-6.1722e-08,0,1,151,1,151,0
0.13822,-1.6743e-07,-6.1722e-08,0,1,152,1,152,0
0.13822,-1.6827e-07,-6.1722e-08,0,1,153,1,153,0
0.13822,-1.691e-07,-6.1722e-08,0,1,154,1,154,0
0.13822,-1.6992e-07,-6.1722e-08,0,1,155,1,155,0
0.13822,-1.7074e-07,-6.1722e-08,0,1,156,1,156,0
0.13822,-1.7156e-07,-6.1722e-08,0,1,157,1,157,0
0.13822,-1.7237e-07,-6.1722e-08,0,1,158,1,158,0
0.13822,-1.7318e-07,-6.1722e-08,0,1,159,1,159,0
0.13822,-1.7398e-07,-6.1722e-08,0,1,160,1,160,0
0.13822,-1.7477e-07,-6.1722e-08,0,1,161,1,161,0
0.13822,-1.7556e-07,-6.1722e-08,0,1,162,1,162,0
0.13822,-1.7634e-07,-6.1722e-08,0,1,163,1,163,0
0.13822,-1.7712e-07,-6.1722e-08,0,1,164,1,164,0
0.13822,-1.779e-07,-6.1722e-08,0,1,165,1,165,0
0.13822,-1.7867e-07,-6.1722e-08,0,1,166,1,166,0
0.13822,-1.7943e-07,-6.1722e-08,0,1,167,1,167,0
0.13822,-1.8019e-07,-6.1722e-08,0,1,168,1,168,0
0.13822,-1.8094e-07,-6.1722e-08,0,1,169,1,169,0
0.13822,-1.8169e-07,-6.1722e-08,0,1,170,1,170,0
0.13821,-1.8243e-07,-6.1722e-08,0,1,171,1,171,0
0.13821,-1.8316e-07,-6.1722e-08,0,1,172,1,172,0
0.13821,-1.8389e-07,-6.1722e-08,0,1,173,1,173,0
0.13821,-1.8462e-07,-6.1722e-08,0,1,174,1,174,0
0.13821,-1.8534e-07,-6.1722e-08,0,1,175,1,175,0
0.13821,-1.8605e-07,-6.1722e-08,0,1,176,1,176,0
0.13821,-1.8676e-07,-6.1722e-08,0,1,177,1,177,0
0.13821,-1.8746e-07,-6.1722e-08,0,1,178,1,178,0
0.13821,-1.8816e-07,-6.1722e-08,0,1,179,1,179,0
0.13821,-1.8885e-07,-6.1722e-08,0,1,180,1,180,0
0.13821,-1.8954e-07,-6.1722e-08,0,1,181,1,181,0
0.13821,-1.9022e-07,-6.1722e-08,0,1,182,1,182,0
0.13821,-1.9089e-07,-6.1722e-08,0,1,183,1,183,0
0.13821,-1.9156e-07,-6.1722e-08,0,1,184,1,184,0
0.13821,-1.9223e-07,-6.1722e-08,0,1,185,1,185,0
0.13821,-1.9289e-07,-6.1722e-08,0,1,186,1,186,0
0.13821,-1.9354e-07,-6.1722e-08,0,1,187,1,187,0
0.13821,-1.9418e-07,-6.1722e-08,0,1,188,1,188,0
0.13821,-1.9482e-07,-6.1721e-08,0,1,189,1,189,0
0.13821,-1.9546e-07,-6.1721e-08,0,1,190,1,190,0
0.13821,-1.9609e-07,-6.1721e-08,0,1,191,1,191,0
0.13821,-1.9671e-07,-6.1721e-08,0,1,192,1,192,0
0.13821,-1.9733e-07,-6.1721e-08,0,1,193,1,193,0
0.13821,-1.9794e-07,-6.1721e-08,0,1,194,1,194,0
0.13821,-1.9854e-07,-6.1721e-08,0,1,195,1,195,0
0.13821,-1.9914e-07,-6.1721e-08,0,1,196,1,196,0
0.13821,-1.9974e-07,-6.1721e-08,0,1,197,1,197,0
0.13821,-2.0032e-07,-6.1721e-08,0,1,198,1,198,0
0.13821,-2.009e-07,-6.1721e-08,0,1,199,1,199,0
0.13821,-2.0148e-07,-6.1721e-08,0,1,200,1,200,0
0.13821,-2.0205e-07,-6.1721e-08,0,1,201,1,201,0
0.13821,-2.0261e-07,-6.1721e-08,0,1,202,1,202,0
0.13821,-2.0317e-07,-6.1721e-08,0,1,203,1,203,0
0.1382,-2.0372e-07,-6.1721e-08,0,1,204,1,204,0
0.1382,-2.0427e-07,-6.1721e-08,0,1,205,1,205,0
0.1382,-2.048e-07,-6.1721e-08,0,1,206,1,206,0
0.1382,-2.0534e-07,-6.1721e-08,0,1,207,1,207,0
0.1382,-2.0586e-07,-6.1721e-08,0,1,208,1,208,0
0.1382,-2.0638e-07,-6.1721e-08,0,1,209,1,209,0
0.1382,-2.069e-07,-6.1721e-08,0,1,210,1,210,0
0.1382,-2.0741e-07,-6.1721e-08,0,1,211,1,211,0
0.1382,-2.0791e-07,-6.1721e-08,0,1,212,1,212,0
0.1382,-2.0841e-07,-6.1721e-08,0,1,213,1,213,0
0.1382,-2.089e-07,-6.1721e-08,0,1,214,1,214,0
0.1382,-2.0938e-07,-6.1721e-08,0,1,215,1,215,0
0.1382,-2.0986e-07,-6.1721e-08,0,1,216,1,216,0
0.1382,-2.1033e-07,-6.1721e-08,0,1,217,1,217,0
0.1382,-2.1079e-07,-6.1721e-08,0,1,218,1,218,0
0.1382,-2.1125e-07,-6.1721e-08,0,1,219,1,219,0
0.1382,-2.117e-07,-6.1721e-08,0,1,220,1,220,0
0.1382,-2.1215e-07,-6.1721e-08,0,1,221,1,221,0
0.1382,-2.1259e-07,-6.1721e-08,0,1,222,1,222,0
0.1382,-2.1302e-07,-6.1721e-08,0,1,223,1,223,0
0.1382,-2.1345e-07,-6.1721e-08,0,1,224,1,224,0
0.1382,-2.1387e-07,-6.1721e-08,0,1,225,1,225,0
0.1382,-2.1428e-07,-6.1721e-08,0,1,226,1,226,0
0.1382,-2.1469e-07,-6.1721e-08,0,1,227,1,227,0
0.1382,-2.1509e-07,-6.1721e-08,0,1,228,1,228,0
0.1382,-2.1548e-07,-6.1721e-08,0,1,229,1,229,0
0.1382,-2.1587e-07,-6.1721e-08,0,1,230,1,230,0
0.1382,-2.1625e-07,-6.1721e-08,0,1,231,1,231,0
0.1382,-2.1663e-07,-6.1721e-08,0,1,232,1,232,0
0.1382,-2.17e-07,-6.1721e-08,0,1,233,1,233,0
0.1382,-2.1736e-07,-6.1721e-08,0,1,234,1,234,0
0.1382,-2.1772e-07,-6.1721e-08,0,1,235,1,235,0
0.1382,-2.1807e-07,-6.1721e-08,0,1,236,1,236,0
0.1382,-2.1841e-07,-6.1721e-08,0,1,237,1,237,0
0.13819,-2.1875e-07,-6.1721e-08,0,1,238,1,238,0
0.13819,-2.1908e-07,-6.1721e-08,0,1,239,1,239,0
0.13819,-2.194e-07,-6.1721e-08,0,1,240,1,240,0
0.13819,-2.1972e-07,-6.1721e-08,0,1,241,1,241,0
0.13819,-2.2003e-07,-6.1721e-08,0,1,242,1,242,0
0.13819,-2.2033e-07,-6.1721e-08,0,1,243,1,243,0
0.13819,-2.2063e-07,-6.1721e-08,0,1,244,1,244,0
0.13819,-2.2092e-07,-6.1721e-08,0,1,245,1,245,0
0.13819,-2.212e-07,-6.1721e-08,0,1,246,1,246,0
0.13819,-2.2148e-07,-6.1721e-08,0,1,247,1,247,0
0.13819,-2.2175e-07,-6.1721e-08,0,1,248,1,248,0
0.13819,-2.2201e-07,-6.1721e-08,0,1,249,1,249,0
0.13819,-2.2227e-07,-6.1721e-08,0,1,250,1,250,0
0.13819,-2.2252e-07,-6.1721e-08,0,1,251,1,251,0
0.13819,-2.2276e-07,-6.1721e-08,0,1,252,1,252,0
0.13819,-2.23e-07,-6.1721e-08,0,1,253,1,253,0
0.13819,-2.2323e-07,-6.1721e-08,0,1,254,1,254,0
0.13819,-2.2346e-07,-6.1721e-08,0,1,255,1,255,0
0.13819,-2.2367e-07,-6.1721e-08,0,1,256,1,256,0
0.13819,-2.2389e-07,-6.1721e-08,0,1,257,1,257,0
0.13819,-2.2409e-07,-6.1721e-08,0,1,258,1,258,0
0.13819,-2.2429e-07,-6.1721e-08,0,1,259,1,259,0
0.13819,-2.2448e-07,-6.1721e-08,0,1,260,1,260,0
0.13818,-2.2466e-07,-6.1721e-08,0,1,261,1,261,0
0.13818,-2.2484e-07,-6.1721e-08,0,1,262,1,262,0
0.13817,-2.2501e-07,-6.1721e-08,0,1,263,1,263,0
0.13816,-2.2517e-07,-6.1721e-08,0,1,264,1,264,0
0.13814,-2.2533e-07,-6.1721e-08,0,1,265,1,265,0
0.1381,-2.2548e-07,-6.1721e-08,0,1,266,1,266,0
0.13803,-2.2562e-07,-6.1721e-08,0,1,267,1,267,0
0.1379,-2.2576e-07,-6.1721e-08,0,1,268,1,268,0
0.13767,-2.2589e-07,-6.1721e-08,0,1,269,1,269,0
0.13724,-2.2602e-07,-6.1721e-08,0,1,270,1,270,0
0.13649,-2.2614e-07,-6.172e-08,0,1,271,1,271,0
0.13515,-2.2625e-07,-6.172e-08,0,1,272,1,272,0
0.13287,-2.2637e-07,-6.172e-08,0,1,273,1,273,0
0.1291,-2.2649e-07,-6.1721e-08,0,1,274,1,274,0
0.12329,-2.2664e-07,-6.1722e-08,0,1,275,1,275,0
0.11508,-2.2683e-07,-6.1723e-08,0,1,276,1,276,0
0.10465,-2.2705e-07,-6.1724e-08,0,1,277,1,277,0
0.092902,-2.2725e-07,-6.1724e-08,0,1,278,1,278,0
0.081129,-2.2738e-07,-6.1723e-08,0,1,279,1,279,0
0.070483,-2.2742e-07,-6.1722e-08,0,1,280,1,280,0
0.061611,-2.2739e-07,-6.1723e-08,0,1,281,1,281,0
0.054642,-2.2735e-07,-6.1724e-08,0,1,282,1,282,0
0.04938,-2.2735e-07,-6.1725e-08,0,1,283,1,283,0
0.045507,-2.274e-07,-6.1727e-08,0,1,284,1,284,0
0.042699,-2.2749e-07,-6.1728e-08,0,1,285,1,285,0
0.040682,-2.2761e-07,-6.1729e-08,0,1,286,1,286,0
0.039241,-2.2775e-07,-6.1729e-08,0,1,287,1,287,0
0.038214,-2.279e-07,-6.173e-08,0,1,288,1,288,0
0.037484,-2.2805e-07,-6.173e-08,0,1,289,1,289,0
0.036965,-2.282e-07,-6.173e-08,0,1,290,1,290,0
0.036596,-2.2835e-07,-6.173e-08,0,1,291,1,291,0
0.036335,-2.2849e-07,-6.173e-08,0,1,292,1,292,0
0.03615,-2.2863e-07,-6.173e-08,0,1,293,1,293,0
0.036018,-2.2876e-07,-6.173e-08,0,1,294,1,294,0
0.035924,-2.2888e-07,-6.1731e-08,0,1,295,1,295,0
0.035858,-2.29e-07,-6.1731e-08,0,1,296,1,296,0
0.035811,-2.2912e-07,-6.1731e-08,0,1,297,1,297,0
0.035778,-2.2922e-07,-6.1731e-08,0,1,298,1,298,0
0.035754,-2.2932e-07,-6.1731e-08,0,1,299,1,299,0
0.035737,-2.2941e-07,-6.1731e-08,0,1,300,1,300,0
0.035725,-2.295e-07,-6.1731e-08,0,1,301,1,301,0
0.035716,-2.2958e-07,-6.1731e-08,0,1,302,1,302,0
0.03571,-2.2965e-07,-6.1731e-08,0,1,303,1,303,0
0.035706,-2.2971e-07,-6.1731e-08,0,1,304,1,304,0
0.035702,-2.2977e-07,-6.1731e-08,0,1,305,1,305,0
0.0357,-2.2982e-07,-6.1731e-08,0,1,306,1,306,0
0.035698,-2.2987e-07,-6.1731e-08,0,1,307,1,307,0
0.035697,-2.299e-07,-6.1731e-08,0,1,308,1,308,0
0.035696,-2.2993e-07,-6.1731e-08,0,1,309,1,309,0
0.035695,-2.2996e-07,-6.1731e-08,0,1,310,1,310,0
0.035695,-2.2997e-07,-6.1731e-08,0,1,311,1,311,0
0.035694,-2.2998e-07,-6.1731e-08,0,1,312,1,312,0
0.035694,-2.2999e-07,-6.1732e-08,0,1,313,1,313,0
0.035693,-2.2998e-07,-6.1732e-08,0,1,314,1,314,0
0.035693,-2.2997e-07,-6.1732e-08,0,1,315,1,315,0
0.035693,-2.2995e-07,-6.1732e-08,0,1,316,1,316,0
0.035692,-2.2993e-07,-6.1732e-08,0,1,317,1,317,0
0.035692,-2.299e-07,-6.1732e-08,0,1,318,1,318,0
0.035692,-2.2986e-07,-6.1732e-08,0,1,319,1,319,0
0.035692,-2.2981e-07,-6.1732e-08,0,1,320,1,320,0
0.035691,-2.2976e-07,-6.1732e-08,0,1,321,1,321,0
0.035691,-2.297e-07,-6.1732e-08,0,1,322,1,322,0
0.035691,-2.2964e-07,-6.1732e-08,0,1,323,1,323,0
0.035691,-2.2956e-07,-6.1732e-08,0,1,324,1,324,0
0.035691,-2.2948e-07,-6.1732e-08,0,1,325,1,325,0
0.03569,-2.294e-07,-6.1732e-08,0,1,326,1,326,0
0.03569,-2.293e-07,-6.1732e-08,0,1,327,1,327,0
0.03569,-2.292e-07,-6.1732e-08,0,1,328,1,328,0
0.03569,-2.291e-07,-6.1732e-08,0,1,329,1,329,0
0.035689,-2.2898e-07,-6.1732e-08,0,1,330,1,330,0
0.035689,-2.2886e-07,-6.1732e-08,0,1,331,1,331,0
0.035689,-2.2874e-07,-6.1732e-08,0,1,332,1,332,0
0.035689,-2.286e-07,-6.1733e-08,0,1,333,1,333,0
0.035688,-2.2846e-07,-6.1733e-08,0,1,334,1,334,0
0.035688,-2.2831e-07,-6.1733e-08,0,1,335,1,335,0
0.035688,-2.2816e-07,-6.1733e-08,0,1,336,1,336,0
0.035688,-2.2799e-07,-6.1733e-08,0,1,337,1,337,0
0.035688,-2.2783e-07,-6.1733e-08,0,1,338,1,338,0
0.035687,-2.2765e-07,-6.1733e-08,0,1,339,1,339,0
0.035687,-2.2747e-07,-6.1733e-08,0,1,340,1,340,0
0.035687,-2.2728e-07,-6.1733e-08,0,1,341,1,341,0
0.035687,-2.2708e-07,-6.1733e-08,0,1,342,1,342,0
0.035686,-2.2688e-07,-6.1733e-08,0,1,343,1,343,0
0.035686,-2.2667e-07,-6.1733e-08,0,1,344,1,344,0
0.035686,-2.2646e-07,-6.1733e-08,0,1,345,1,345,0
0.035686,-2.2623e-07,-6.1733e-08,0,1,346,1,346,0
0.035686,-2.26e-07,-6.1733e-08,0,1,347,1,347,0
0.035685,-2.2577e-07,-6.1733e-08,0,1,348,1,348,0
0.035685,-2.2552e-07,-6.1733e-08,0,1,349,1,349,0
0.035685,-2.2527e-07,-6.1733e-08,0,1,350,1,350,0
0.035685,-2.2502e-07,-6.1733e-08,0,1,351,1,351,0
0.035684,-2.2475e-07,-6.1733e-08,0,1,352,1,352,0
0.035684,-2.2448e-07,-6.1733e-08,0,1,353,1,353,0
0.035684,-2.2421e-07,-6.1733e-08,0,1,354,1,354,0
0.035684,-2.2392e-07,-6.1733e-08,0,1,355,1,355,0
0.035683,-2.2363e-07,-6.1733e-08,0,1,356,1,356,0
0.035683,-2.2333e-07,-6.1734e-08,0,1,357,1,357,0
0.035683,-2.2303e-07,-6.1734e-08,0,1,358,1,358,0
0.035683,-2.2272e-07,-6.1734e-08,0,1,359,1,359,0
0.035683,-2.224e-07,-6.1734e-08,0,1,360,1,360,0
